Generate posit configurations
"Generate Posit Lookup table for a POSIT<2,0> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
139,10001011,11110101,2,1,10,1110---,10,1--,-1536,8.2x8Bp
140,10001100,11110100,2,1,10,1110---,10,0--,-1024,8.2x8Cp
141,10001101,11110011,2,1,9,1110---,01,1--,-768,8.2x8Dp
142,10001110,11110010,2,1,9,1110---,01,0--,-512,8.2x8Ep
143,10001111,11110001,2,1,8,1110---,00,1--,-384,8.2x8Fp
144,10010000,11110000,2,1,8,1110---,00,0--,-256,8.2x90p
145,10010001,11101111,1,1,7,110----,11,11-,-224,8.2x91p
146,10010010,11101110,1,1,7,110----,11,10-,-192,8.2x92p
147,10010011,11101101,1,1,7,110----,11,01-,-160,8.2x93p
148,10010100,11101100,1,1,7,110----,11,00-,-128,8.2x94p
149,10010101,11101011,1,1,6,110----,10,11-,-112,8.2x95p
150,10010110,11101010,1,1,6,110----,10,10-,-96,8.2x96p
151,10010111,11101001,1,1,6,110----,10,01-,-80,8.2x97p
152,10011000,11101000,1,1,6,110----,10,00-,-64,8.2x98p
153,10011001,11100111,1,1,5,110----,01,11-,-56,8.2x99p
154,10011010,11100110,1,1,5,110----,01,10-,-48,8.2x9Ap
155,10011011,11100101,1,1,5,110----,01,01-,-40,8.2x9Bp
156,10011100,11100100,1,1,5,110----,01,00-,-32,8.2x9Cp
157,10011101,11100011,1,1,4,110----,00,11-,-28,8.2x9Dp
158,10011110,11100010,1,1,4,110----,00,10-,-24,8.2x9Ep
159,10011111,11100001,1,1,4,110----,00,01-,-20,8.2x9Fp
160,10100000,11100000,1,1,4,110----,00,00-,-16,8.2xA0p
161,10100001,11011111,0,1,3,10-----,11,111,-15,8.2xA1p
162,10100010,11011110,0,1,3,10-----,11,110,-14,8.2xA2p
163,10100011,11011101,0,1,3,10-----,11,101,-13,8.2xA3p
164,10100100,11011100,0,1,3,10-----,11,100,-12,8.2xA4p
165,10100101,11011011,0,1,3,10-----,11,011,-11,8.2xA5p
166,10100110,11011010,0,1,3,10-----,11,010,-10,8.2xA6p
167,10100111,11011001,0,1,3,10-----,11,001,-9,8.2xA7p
168,10101000,11011000,0,1,3,10-----,11,000,-8,8.2xA8p
169,10101001,11010111,0,1,2,10-----,10,111,-7.5,8.2xA9p
170,10101010,11010110,0,1,2,10-----,10,110,-7,8.2xAAp
171,10101011,11010101,0,1,2,10-----,10,101,-6.5,8.2xABp
172,10101100,11010100,0,1,2,10-----,10,100,-6,8.2xACp
173,10101101,11010011,0,1,2,10-----,10,011,-5.5,8.2xADp
174,10101110,11010010,0,1,2,10-----,10,010,-5,8.2xAEp
175,10101111,11010001,0,1,2,10-----,10,001,-4.5,8.2xAFp
176,10110000,11010000,0,1,2,10-----,10,000,-4,8.2xB0p
177,10110001,11001111,0,1,1,10-----,01,111,-3.75,8.2xB1p
178,10110010,11001110,0,1,1,10-----,01,110,-3.5,8.2xB2p
179,10110011,11001101,0,1,1,10-----,01,101,-3.25,8.2xB3p
180,10110100,11001100,0,1,1,10-----,01,100,-3,8.2xB4p
181,10110101,11001011,0,1,1,10-----,01,011,-2.75,8.2xB5p
182,10110110,11001010,0,1,1,10-----,01,010,-2.5,8.2xB6p
183,10110111,11001001,0,1,1,10-----,01,001,-2.25,8.2xB7p
184,10111000,11001000,0,1,1,10-----,01,000,-2,8.2xB8p
185,10111001,11000111,0,1,0,10-----,00,111,-1.875,8.2xB9p
186,10111010,11000110,0,1,0,10-----,00,110,-1.75,8.2xBAp
187,10111011,11000101,0,1,0,10-----,00,101,-1.625,8.2xBBp
188,10111100,11000100,0,1,0,10-----,00,100,-1.5,8.2xBCp
189,10111101,11000011,0,1,0,10-----,00,011,-1.375,8.2xBDp
190,10111110,11000010,0,1,0,10-----,00,010,-1.25,8.2xBEp
191,10111111,11000001,0,1,0,10-----,00,001,-1.125,8.2xBFp
192,11000000,11000000,0,1,0,10-----,00,000,-1,8.2xC0p
193,11000001,10111111,-1,1,-1,01-----,11,111,-0.9375,8.2xC1p
194,11000010,10111110,-1,1,-1,01-----,11,110,-0.875,8.2xC2p
195,11000011,10111101,-1,1,-1,01-----,11,101,-0.8125,8.2xC3p
196,11000100,10111100,-1,1,-1,01-----,11,100,-0.75,8.2xC4p
197,11000101,10111011,-1,1,-1,01-----,11,011,-0.6875,8.2xC5p
198,11000110,10111010,-1,1,-1,01-----,11,010,-0.625,8.2xC6p
199,11000111,10111001,-1,1,-1,01-----,11,001,-0.5625,8.2xC7p
200,11001000,10111000,-1,1,-1,01-----,11,000,-0.5,8.2xC8p
201,11001001,10110111,-1,1,-2,01-----,10,111,-0.46875,8.2xC9p
202,11001010,10110110,-1,1,-2,01-----,10,110,-0.4375,8.2xCAp
203,11001011,10110101,-1,1,-2,01-----,10,101,-0.40625,8.2xCBp
204,11001100,10110100,-1,1,-2,01-----,10,100,-0.375,8.2xCCp
205,11001101,10110011,-1,1,-2,01-----,10,011,-0.34375,8.2xCDp
206,11001110,10110010,-1,1,-2,01-----,10,010,-0.3125,8.2xCEp
207,11001111,10110001,-1,1,-2,01-----,10,001,-0.28125,8.2xCFp
208,11010000,10110000,-1,1,-2,01-----,10,000,-0.25,8.2xD0p
209,11010001,10101111,-1,1,-3,01-----,01,111,-0.234375,8.2xD1p
210,11010010,10101110,-1,1,-3,01-----,01,110,-0.21875,8.2xD2p
211,11010011,10101101,-1,1,-3,01-----,01,101,-0.203125,8.2xD3p
212,11010100,10101100,-1,1,-3,01-----,01,100,-0.1875,8.2xD4p
213,11010101,10101011,-1,1,-3,01-----,01,011,-0.171875,8.2xD5p
214,11010110,10101010,-1,1,-3,01-----,01,010,-0.15625,8.2xD6p
215,11010111,10101001,-1,1,-3,01-----,01,001,-0.140625,8.2xD7p
216,11011000,10101000,-1,1,-3,01-----,01,000,-0.125,8.2xD8p
217,11011001,10100111,-1,1,-4,01-----,00,111,-0.1171875,8.2xD9p
218,11011010,10100110,-1,1,-4,01-----,00,110,-0.109375,8.2xDAp
219,11011011,10100101,-1,1,-4,01-----,00,101,-0.1015625,8.2xDBp
220,11011100,10100100,-1,1,-4,01-----,00,100,-0.09375,8.2xDCp
221,11011101,10100011,-1,1,-4,01-----,00,011,-0.0859375,8.2xDDp
222,11011110,10100010,-1,1,-4,01-----,00,010,-0.078125,8.2xDEp
223,11011111,10100001,-1,1,-4,01-----,00,001,-0.0703125,8.2xDFp
224,11100000,10100000,-1,1,-4,01-----,00,000,-0.0625,8.2xE0p
225,11100001,10011111,-2,1,-5,001----,11,11-,-0.0546875,8.2xE1p
226,11100010,10011110,-2,1,-5,001----,11,10-,-0.046875,8.2xE2p
227,11100011,10011101,-2,1,-5,001----,11,01-,-0.0390625,8.2xE3p
228,11100100,10011100,-2,1,-5,001----,11,00-,-0.03125,8.2xE4p
229,11100101,10011011,-2,1,-6,001----,10,11-,-0.02734375,8.2xE5p
230,11100110,10011010,-2,1,-6,001----,10,10-,-0.0234375,8.2xE6p
231,11100111,10011001,-2,1,-6,001----,10,01-,-0.01953125,8.2xE7p
232,11101000,10011000,-2,1,-6,001----,10,00-,-0.015625,8.2xE8p
233,11101001,10010111,-2,1,-7,001----,01,11-,-0.013671875,8.2xE9p
234,11101010,10010110,-2,1,-7,001----,01,10-,-0.01171875,8.2xEAp
235,11101011,10010101,-2,1,-7,001----,01,01-,-0.009765625,8.2xEBp
236,11101100,10010100,-2,1,-7,001----,01,00-,-0.0078125,8.2xECp
237,11101101,10010011,-2,1,-8,001----,00,11-,-0.0068359375,8.2xEDp
238,11101110,10010010,-2,1,-8,001----,00,10-,-0.005859375,8.2xEEp
239,11101111,10010001,-2,1,-8,001----,00,01-,-0.0048828125,8.2xEFp
240,11110000,10010000,-2,1,-8,001----,00,00-,-0.00390625,8.2xF0p
241,11110001,10001111,-3,1,-9,0001---,11,1--,-0.0029296875,8.2xF1p
242,11110010,10001110,-3,1,-9,0001---,11,0--,-0.001953125,8.2xF2p
243,11110011,10001101,-3,1,-10,0001---,10,1--,-0.00146484375,8.2xF3p
244,11110100,10001100,-3,1,-10,0001---,10,0--,-0.0009765625,8.2xF4p
245,11110101,10001011,-3,1,-11,0001---,01,1--,-0.000732421875,8.2xF5p
246,11110110,10001010,-3,1,-11,0001---,01,0--,-0.00048828125,8.2xF6p
247,11110111,10001001,-3,1,-12,0001---,00,1--,-0.0003662109375,8.2xF7p
248,11111000,10001000,-3,1,-12,0001---,00,0--,-0.000244140625,8.2xF8p
249,11111001,10000111,-4,1,-13,00001--,11,---,-0.0001220703125,8.2xF9p
250,11111010,10000110,-4,1,-14,00001--,10,---,-6.103515625e-05,8.2xFAp
251,11111011,10000101,-4,1,-15,00001--,01,---,-3.0517578125e-05,8.2xFBp
252,11111100,10000100,-4,1,-16,00001--,00,---,-1.52587890625e-05,8.2xFCp
253,11111101,10000011,-5,1,-18,000001-,1-,---,-3.814697265625e-06,8.2xFDp
254,11111110,10000010,-5,1,-20,000001-,0-,---,-9.5367431640625e-07,8.2xFEp
255,11111111,10000001,-6,1,-24,0000001,--,---,-5.9604644775390625e-08,8.2xFFp

"Generate Posit Lookup table for a POSIT<8,3> in CSV format"
#, Binary, Decoded, k, sign, scale, regime, exponent, fraction, value, posit
0,00000000,00000000,-7,0,-48,0000000,---,--,0,8.3x00p
1,00000001,00000001,-6,0,-48,0000001,---,--,3.552713678800500929356e-15,8.3x01p
2,00000010,00000010,-5,0,-40,000001-,0--,--,9.09494701772928237915e-13,8.3x02p
3,00000011,00000011,-5,0,-36,000001-,1--,--,1.455191522836685180664e-11,8.3x03p
4,00000100,00000100,-4,0,-32,00001--,00-,--,2.328306436538696289063e-10,8.3x04p
5,00000101,00000101,-4,0,-30,00001--,01-,--,9.31322574615478515625e-10,8.3x05p
6,00000110,00000110,-4,0,-28,00001--,10-,--,3.7252902984619140625e-09,8.3x06p
7,00000111,00000111,-4,0,-26,00001--,11-,--,1.490116119384765625e-08,8.3x07p
8,00001000,00001000,-3,0,-24,0001---,000,--,5.9604644775390625e-08,8.3x08p
9,00001001,00001001,-3,0,-23,0001---,001,--,1.1920928955078125e-07,8.3x09p
10,00001010,00001010,-3,0,-22,0001---,010,--,2.384185791015625e-07,8.3x0Ap
11,00001011,00001011,-3,0,-21,0001---,011,--,4.76837158203125e-07,8.3x0Bp
12,00001100,00001100,-3,0,-20,0001---,100,--,9.5367431640625e-07,8.3x0Cp
13,00001101,00001101,-3,0,-19,0001---,101,--,1.9073486328125e-06,8.3x0Dp
14,00001110,00001110,-3,0,-18,0001---,110,--,3.814697265625e-06,8.3x0Ep
15,00001111,00001111,-3,0,-17,0001---,111,--,7.62939453125e-06,8.3x0Fp
16,00010000,00010000,-2,0,-16,001----,000,0-,1.52587890625e-05,8.3x10p
17,00010001,00010001,-2,0,-16,001----,000,1-,2.288818359375e-05,8.3x11p
18,00010010,00010010,-2,0,-15,001----,001,0-,3.0517578125e-05,8.3x12p
19,00010011,00010011,-2,0,-15,001----,001,1-,4.57763671875e-05,8.3x13p
20,00010100,00010100,-2,0,-14,001----,010,0-,6.103515625e-05,8.3x14p
21,00010101,00010101,-2,0,-14,001----,010,1-,9.1552734375e-05,8.3x15p
22,00010110,00010110,-2,0,-13,001----,011,0-,0.0001220703125,8.3x16p
23,00010111,00010111,-2,0,-13,001----,011,1-,0.00018310546875,8.3x17p
24,00011000,00011000,-2,0,-12,001----,100,0-,0.000244140625,8.3x18p
25,00011001,00011001,-2,0,-12,001----,100,1-,0.0003662109375,8.3x19p
26,00011010,00011010,-2,0,-11,001----,101,0-,0.00048828125,8.3x1Ap
27,00011011,00011011,-2,0,-11,001----,101,1-,0.000732421875,8.3x1Bp
28,00011100,00011100,-2,0,-10,001----,110,0-,0.0009765625,8.3x1Cp
29,00011101,00011101,-2,0,-10,001----,110,1-,0.00146484375,8.3x1Dp
30,00011110,00011110,-2,0,-9,001----,111,0-,0.001953125,8.3x1Ep
31,00011111,00011111,-2,0,-9,001----,111,1-,0.0029296875,8.3x1Fp
32,00100000,00100000,-1,0,-8,01-----,000,00,0.00390625,8.3x20p
33,00100001,00100001,-1,0,-8,01-----,000,01,0.0048828125,8.3x21p
34,00100010,00100010,-1,0,-8,01-----,000,10,0.005859375,8.3x22p
35,00100011,00100011,-1,0,-8,01-----,000,11,0.0068359375,8.3x23p
36,00100100,00100100,-1,0,-7,01-----,001,00,0.0078125,8.3x24p
37,00100101,00100101,-1,0,-7,01-----,001,01,0.009765625,8.3x25p
38,00100110,00100110,-1,0,-7,01-----,001,10,0.01171875,8.3x26p
39,00100111,00100111,-1,0,-7,01-----,001,11,0.013671875,8.3x27p
40,00101000,00101000,-1,0,-6,01-----,010,00,0.015625,8.3x28p
41,00101001,00101001,-1,0,-6,01-----,010,01,0.01953125,8.3x29p
42,00101010,00101010,-1,0,-6,01-----,010,10,0.0234375,8.3x2Ap
43,00101011,00101011,-1,0,-6,01-----,010,11,0.02734375,8.3x2Bp
44,00101100,00101100,-1,0,-5,01-----,011,00,0.03125,8.3x2Cp
45,00101101,00101101,-1,0,-5,01-----,011,01,0.0390625,8.3x2Dp
46,00101110,00101110,-1,0,-5,01-----,011,10,0.046875,8.3x2Ep
47,00101111,00101111,-1,0,-5,01-----,011,11,0.0546875,8.3x2Fp
48,00110000,00110000,-1,0,-4,01-----,100,00,0.0625,8.3x30p
49,00110001,00110001,-1,0,-4,01-----,100,01,0.078125,8.3x31p
50,00110010,00110010,-1,0,-4,01-----,100,10,0.09375,8.3x32p
51,00110011,00110011,-1,0,-4,01-----,100,11,0.109375,8.3x33p
52,00110100,00110100,-1,0,-3,01-----,101,00,0.125,8.3x34p
53,00110101,00110101,-1,0,-3,01-----,101,01,0.15625,8.3x35p
54,00110110,00110110,-1,0,-3,01-----,101,10,0.1875,8.3x36p
55,00110111,00110111,-1,0,-3,01-----,101,11,0.21875,8.3x37p
56,00111000,00111000,-1,0,-2,01-----,110,00,0.25,8.3x38p
57,00111001,00111001,-1,0,-2,01-----,110,01,0.3125,8.3x39p
58,00111010,00111010,-1,0,-2,01-----,110,10,0.375,8.3x3Ap
59,00111011,00111011,-1,0,-2,01-----,110,11,0.4375,8.3x3Bp
60,00111100,00111100,-1,0,-1,01-----,111,00,0.5,8.3x3Cp
61,00111101,00111101,-1,0,-1,01-----,111,01,0.625,8.3x3Dp
62,00111110,00111110,-1,0,-1,01-----,111,10,0.75,8.3x3Ep
63,00111111,00111111,-1,0,-1,01-----,111,11,0.875,8.3x3Fp
64,01000000,01000000,0,0,0,10-----,000,00,1,8.3x40p
65,01000001,01000001,0,0,0,10-----,000,01,1.25,8.3x41p
66,01000010,01000010,0,0,0,10-----,000,10,1.5,8.3x42p
67,01000011,01000011,0,0,0,10-----,000,11,1.75,8.3x43p
68,01000100,01000100,0,0,1,10-----,001,00,2,8.3x44p
69,01000101,01000101,0,0,1,10-----,001,01,2.5,8.3x45p
70,01000110,01000110,0,0,1,10-----,001,10,3,8.3x46p
71,01000111,01000111,0,0,1,10-----,001,11,3.5,8.3x47p
72,01001000,01001000,0,0,2,10-----,010,00,4,8.3x48p
73,01001001,01001001,0,0,2,10-----,010,01,5,8.3x49p
74,01001010,01001010,0,0,2,10-----,010,10,6,8.3x4Ap
75,01001011,01001011,0,0,2,10-----,010,11,7,8.3x4Bp
76,01001100,01001100,0,0,3,10-----,011,00,8,8.3x4Cp
77,01001101,01001101,0,0,3,10-----,011,01,10,8.3x4Dp
78,01001110,01001110,0,0,3,10-----,011,10,12,8.3x4Ep
79,01001111,01001111,0,0,3,10-----,011,11,14,8.3x4Fp
80,01010000,01010000,0,0,4,10-----,100,00,16,8.3x50p
81,01010001,01010001,0,0,4,10-----,100,01,20,8.3x51p
82,01010010,01010010,0,0,4,10-----,100,10,24,8.3x52p
83,01010011,01010011,0,0,4,10-----,100,11,28,8.3x53p
84,01010100,01010100,0,0,5,10-----,101,00,32,8.3x54p
85,01010101,01010101,0,0,5,10-----,101,01,40,8.3x55p
86,01010110,01010110,0,0,5,10-----,101,10,48,8.3x56p
87,01010111,01010111,0,0,5,10-----,101,11,56,8.3x57p
88,01011000,01011000,0,0,6,10-----,110,00,64,8.3x58p
89,01011001,01011001,0,0,6,10-----,110,01,80,8.3x59p
90,01011010,01011010,0,0,6,10-----,110,10,96,8.3x5Ap
91,01011011,01011011,0,0,6,10-----,110,11,112,8.3x5Bp
92,01011100,01011100,0,0,7,10-----,111,00,128,8.3x5Cp
93,01011101,01011101,0,0,7,10-----,111,01,160,8.3x5Dp
94,01011110,01011110,0,0,7,10-----,111,10,192,8.3x5Ep
95,01011111,01011111,0,0,7,10-----,111,11,224,8.3x5Fp
96,01100000,01100000,1,0,8,110----,000,0-,256,8.3x60p
97,01100001,01100001,1,0,8,110----,000,1-,384,8.3x61p
98,01100010,01100010,1,0,9,110----,001,0-,512,8.3x62p
99,01100011,01100011,1,0,9,110----,001,1-,768,8.3x63p
100,01100100,01100100,1,0,10,110----,010,0-,1024,8.3x64p
101,01100101,01100101,1,0,10,110----,010,1-,1536,8.3x65p
102,01100110,01100110,1,0,11,110----,011,0-,2048,8.3x66p
103,01100111,01100111,1,0,11,110----,011,1-,3072,8.3x67p
104,01101000,01101000,1,0,12,110----,100,0-,4096,8.3x68p
105,01101001,01101001,1,0,12,110----,100,1-,6144,8.3x69p
106,01101010,01101010,1,0,13,110----,101,0-,8192,8.3x6Ap
107,01101011,01101011,1,0,13,110----,101,1-,12288,8.3x6Bp
108,01101100,01101100,1,0,14,110----,110,0-,16384,8.3x6Cp
109,01101101,01101101,1,0,14,110----,110,1-,24576,8.3x6Dp
110,01101110,01101110,1,0,15,110----,111,0-,32768,8.3x6Ep
111,01101111,01101111,1,0,15,110----,111,1-,49152,8.3x6Fp
112,01110000,01110000,2,0,16,1110---,000,--,65536,8.3x70p
113,01110001,01110001,2,0,17,1110---,001,--,131072,8.3x71p
114,01110010,01110010,2,0,18,1110---,010,--,262144,8.3x72p
115,01110011,01110011,2,0,19,1110---,011,--,524288,8.3x73p
116,01110100,01110100,2,0,20,1110---,100,--,1048576,8.3x74p
117,01110101,01110101,2,0,21,1110---,101,--,2097152,8.3x75p
118,01110110,01110110,2,0,22,1110---,110,--,4194304,8.3x76p
119,01110111,01110111,2,0,23,1110---,111,--,8388608,8.3x77p
120,01111000,01111000,3,0,24,11110--,00-,--,16777216,8.3x78p
121,01111001,01111001,3,0,26,11110--,01-,--,67108864,8.3x79p
122,01111010,01111010,3,0,28,11110--,10-,--,268435456,8.3x7Ap
123,01111011,01111011,3,0,30,11110--,11-,--,1073741824,8.3x7Bp
124,01111100,01111100,4,0,32,111110-,0--,--,4294967296,8.3x7Cp
125,01111101,01111101,4,0,36,111110-,1--,--,68719476736,8.3x7Dp
126,01111110,01111110,5,0,40,1111110,---,--,1099511627776,8.3x7Ep
127,01111111,01111111,6,0,48,1111111,---,--,281474976710656,8.3x7Fp
128,10000000,10000000,7,1,-48,0000000,---,--,nar,8.3x80p
129,10000001,11111111,6,1,48,1111111,---,--,-281474976710656,8.3x81p
130,10000010,11111110,5,1,40,1111110,---,--,-1099511627776,8.3x82p
131,10000011,11111101,4,1,36,111110-,1--,--,-68719476736,8.3x83p
132,10000100,11111100,4,1,32,111110-,0--,--,-4294967296,8.3x84p
133,10000101,11111011,3,1,30,11110--,11-,--,-1073741824,8.3x85p
134,10000110,11111010,3,1,28,11110--,10-,--,-268435456,8.3x86p
135,10000111,11111001,3,1,26,11110--,01-,--,-67108864,8.3x87p
136,10001000,11111000,3,1,24,11110--,00-,--,-16777216,8.3x88p
137,10001001,11110111,2,1,23,1110---,111,--,-8388608,8.3x89p
138,10001010,11110110,2,1,22,1110---,110,--,-4194304,8.3x8Ap
139,10001011,11110101,2,1,21,1110---,101,--,-2097152,8.3x8Bp
140,10001100,11110100,2,1,20,1110---,100,--,-1048576,8.3x8Cp
141,10001101,11110011,2,1,19,1110---,011,--,-524288,8.3x8Dp
142,10001110,11110010,2,1,18,1110---,010,--,-262144,8.3x8Ep
143,10001111,11110001,2,1,17,1110---,001,--,-131072,8.3x8Fp
144,10010000,11110000,2,1,16,1110---,000,--,-65536,8.3x90p
145,10010001,11101111,1,1,15,110----,111,1-,-49152,8.3x91p
146,10010010,11101110,1,1,15,110----,111,0-,-32768,8.3x92p
147,10010011,11101101,1,1,14,110----,110,1-,-24576,8.3x93p
148,10010100,11101100,1,1,14,110----,110,0-,-16384,8.3x94p
149,10010101,11101011,1,1,13,110----,101,1-,-12288,8.3x95p
150,10010110,11101010,1,1,13,110----,101,0-,-8192,8.3x96p
151,10010111,11101001,1,1,12,110----,100,1-,-6144,8.3x97p
152,10011000,11101000,1,1,12,110----,100,0-,-4096,8.3x98p
153,10011001,11100111,1,1,11,110----,011,1-,-3072,8.3x99p
154,10011010,11100110,1,1,11,110----,011,0-,-2048,8.3x9Ap
155,10011011,11100101,1,1,10,110----,010,1-,-1536,8.3x9Bp
156,10011100,11100100,1,1,10,110----,010,0-,-1024,8.3x9Cp
157,10011101,11100011,1,1,9,110----,001,1-,-768,8.3x9Dp
158,10011110,11100010,1,1,9,110----,001,0-,-512,8.3x9Ep
159,10011111,11100001,1,1,8,110----,000,1-,-384,8.3x9Fp
160,10100000,11100000,1,1,8,110----,000,0-,-256,8.3xA0p
161,10100001,11011111,0,1,7,10-----,111,11,-224,8.3xA1p
162,10100010,11011110,0,1,7,10-----,111,10,-192,8.3xA2p
163,10100011,11011101,0,1,7,10-----,111,01,-160,8.3xA3p
164,10100100,11011100,0,1,7,10-----,111,00,-128,8.3xA4p
165,10100101,11011011,0,1,6,10-----,110,11,-112,8.3xA5p
166,10100110,11011010,0,1,6,10-----,110,10,-96,8.3xA6p
167,10100111,11011001,0,1,6,10-----,110,01,-80,8.3xA7p
168,10101000,11011000,0,1,6,10-----,110,00,-64,8.3xA8p
169,10101001,11010111,0,1,5,10-----,101,11,-56,8.3xA9p
170,10101010,11010110,0,1,5,10-----,101,10,-48,8.3xAAp
171,10101011,11010101,0,1,5,10-----,101,01,-40,8.3xABp
172,10101100,11010100,0,1,5,10-----,101,00,-32,8.3xACp
173,10101101,11010011,0,1,4,10-----,100,11,-28,8.3xADp
174,10101110,11010010,0,1,4,10-----,100,10,-24,8.3xAEp
175,10101111,11010001,0,1,4,10-----,100,01,-20,8.3xAFp
176,10110000,11010000,0,1,4,10-----,100,00,-16,8.3xB0p
177,10110001,11001111,0,1,3,10-----,011,11,-14,8.3xB1p
178,10110010,11001110,0,1,3,10-----,011,10,-12,8.3xB2p
179,10110011,11001101,0,1,3,10-----,011,01,-10,8.3xB3p
180,10110100,11001100,0,1,3,10-----,011,00,-8,8.3xB4p
181,10110101,11001011,0,1,2,10-----,010,11,-7,8.3xB5p
182,10110110,11001010,0,1,2,10-----,010,10,-6,8.3xB6p
183,10110111,11001001,0,1,2,10-----,010,01,-5,8.3xB7p
184,10111000,11001000,0,1,2,10-----,010,00,-4,8.3xB8p
185,10111001,11000111,0,1,1,10-----,001,11,-3.5,8.3xB9p
186,10111010,11000110,0,1,1,10-----,001,10,-3,8.3xBAp
187,10111011,11000101,0,1,1,10-----,001,01,-2.5,8.3xBBp
188,10111100,11000100,0,1,1,10-----,001,00,-2,8.3xBCp
189,10111101,11000011,0,1,0,10-----,000,11,-1.75,8.3xBDp
190,10111110,11000010,0,1,0,10-----,000,10,-1.5,8.3xBEp
191,10111111,11000001,0,1,0,10-----,000,01,-1.25,8.3xBFp
192,11000000,11000000,0,1,0,10-----,000,00,-1,8.3xC0p
193,11000001,10111111,-1,1,-1,01-----,111,11,-0.875,8.3xC1p
194,11000010,10111110,-1,1,-1,01-----,111,10,-0.75,8.3xC2p
195,11000011,10111101,-1,1,-1,01-----,111,01,-0.625,8.3xC3p
196,11000100,10111100,-1,1,-1,01-----,111,00,-0.5,8.3xC4p
197,11000101,10111011,-1,1,-2,01-----,110,11,-0.4375,8.3xC5p
198,11000110,10111010,-1,1,-2,01-----,110,10,-0.375,8.3xC6p
199,11000111,10111001,-1,1,-2,01-----,110,01,-0.3125,8.3xC7p
200,11001000,10111000,-1,1,-2,01-----,110,00,-0.25,8.3xC8p
201,11001001,10110111,-1,1,-3,01-----,101,11,-0.21875,8.3xC9p
202,11001010,10110110,-1,1,-3,01-----,101,10,-0.1875,8.3xCAp
203,11001011,10110101,-1,1,-3,01-----,101,01,-0.15625,8.3xCBp
204,11001100,10110100,-1,1,-3,01-----,101,00,-0.125,8.3xCCp
205,11001101,10110011,-1,1,-4,01-----,100,11,-0.109375,8.3xCDp
206,11001110,10110010,-1,1,-4,01-----,100,10,-0.09375,8.3xCEp
207,11001111,10110001,-1,1,-4,01-----,100,01,-0.078125,8.3xCFp
208,11010000,10110000,-1,1,-4,01-----,100,00,-0.0625,8.3xD0p
209,11010001,10101111,-1,1,-5,01-----,011,11,-0.0546875,8.3xD1p
210,11010010,10101110,-1,1,-5,01-----,011,10,-0.046875,8.3xD2p
211,11010011,10101101,-1,1,-5,01-----,011,01,-0.0390625,8.3xD3p
212,11010100,10101100,-1,1,-5,01-----,011,00,-0.03125,8.3xD4p
213,11010101,10101011,-1,1,-6,01-----,010,11,-0.02734375,8.3xD5p
214,11010110,10101010,-1,1,-6,01-----,010,10,-0.0234375,8.3xD6p
215,11010111,10101001,-1,1,-6,01-----,010,01,-0.01953125,8.3xD7p
216,11011000,10101000,-1,1,-6,01-----,010,00,-0.015625,8.3xD8p
217,11011001,10100111,-1,1,-7,01-----,001,11,-0.013671875,8.3xD9p
218,11011010,10100110,-1,1,-7,01-----,001,10,-0.01171875,8.3xDAp
219,11011011,10100101,-1,1,-7,01-----,001,01,-0.009765625,8.3xDBp
220,11011100,10100100,-1,1,-7,01-----,001,00,-0.0078125,8.3xDCp
221,11011101,10100011,-1,1,-8,01-----,000,11,-0.0068359375,8.3xDDp
222,11011110,10100010,-1,1,-8,01-----,000,10,-0.005859375,8.3xDEp
223,11011111,10100001,-1,1,-8,01-----,000,01,-0.0048828125,8.3xDFp
224,11100000,10100000,-1,1,-8,01-----,000,00,-0.00390625,8.3xE0p
225,11100001,10011111,-2,1,-9,001----,111,1-,-0.0029296875,8.3xE1p
226,11100010,10011110,-2,1,-9,001----,111,0-,-0.001953125,8.3xE2p
227,11100011,10011101,-2,1,-10,001----,110,1-,-0.00146484375,8.3xE3p
228,11100100,10011100,-2,1,-10,001----,110,0-,-0.0009765625,8.3xE4p
229,11100101,10011011,-2,1,-11,001----,101,1-,-0.000732421875,8.3xE5p
230,11100110,10011010,-2,1,-11,001----,101,0-,-0.00048828125,8.3xE6p
231,11100111,10011001,-2,1,-12,001----,100,1-,-0.0003662109375,8.3xE7p
232,11101000,10011000,-2,1,-12,001----,100,0-,-0.000244140625,8.3xE8p
233,11101001,10010111,-2,1,-13,001----,011,1-,-0.00018310546875,8.3xE9p
234,11101010,10010110,-2,1,-13,001----,011,0-,-0.0001220703125,8.3xEAp
235,11101011,10010101,-2,1,-14,001----,010,1-,-9.1552734375e-05,8.3xEBp
236,11101100,10010100,-2,1,-14,001----,010,0-,-6.103515625e-05,8.3xECp
237,11101101,10010011,-2,1,-15,001----,001,1-,-4.57763671875e-05,8.3xEDp
238,11101110,10010010,-2,1,-15,001----,001,0-,-3.0517578125e-05,8.3xEEp
239,11101111,10010001,-2,1,-16,001----,000,1-,-2.288818359375e-05,8.3xEFp
240,11110000,10010000,-2,1,-16,001----,000,0-,-1.52587890625e-05,8.3xF0p
241,11110001,10001111,-3,1,-17,0001---,111,--,-7.62939453125e-06,8.3xF1p
242,11110010,10001110,-3,1,-18,0001---,110,--,-3.814697265625e-06,8.3xF2p
243,11110011,10001101,-3,1,-19,0001---,101,--,-1.9073486328125e-06,8.3xF3p
